ID,past_0_29,past_30_59,past_60_89,past_90_119,past_120_149,past_150_plus,paid_off_month,no_loan_month,total_months,never_had_loan
5002255,32,4,1,,,,,1,38,0
5002256,12,,,,,,10,,22,0
5002257,24,,,,,,26,,50,0
5002258,10,,,,,,50,,60,0
5002259,9,,,,,,50,1,60,0
5002260,5,,,,,,13,,18,0
5002262,8,,,,,,5,,13,0
5002263,4,,,,,,,,4,0
5002264,6,,,,,,26,,32,0
5002265,10,,,,,,,2,12,0
5002266,6,,,,,,7,,13,0
5002267,6,,,,,,22,,28,0
5002268,2,,,,,,,,2,0
5002270,1,,,,,,,8,9,0
5002271,1,,,,,,8,,9,0
5002273,,,,,,,,11,11,1
5002274,12,1,,,,,2,,15,0
5002275,7,,,,,,,,7,0
5002276,11,,,,,,,1,12,0
5002277,15,,,,,,,,15,0
5002278,34,,,,,,,1,35,0
5002279,10,2,,,,,23,,35,0
5002280,11,,,,,,37,,48,0
5002283,17,1,1,,,,41,1,61,0
5002285,1,,,,,,,1,2,0
5002286,6,,,,,,16,,22,0
5002287,7,,,,,,54,,61,0
5002289,6,,,,,,6,,12,0
5002291,17,,,,,,,5,22,0
5002292,24,,,,,,,22,46,0
5002293,7,,,,,,,1,8,0
5002294,3,1,,,,,,1,5,0
5002296,5,,,,,,,34,39,0
5002297,9,1,,,,,37,1,48,0
5002298,9,,,,,,24,,33,0
5002299,16,,,,,,24,,40,0
5002300,5,,,,,,19,,24,0
5002301,19,,,,,,,,19,0
5002302,26,,,,,,,3,29,0
5002303,17,1,2,,,,,2,22,0
5002304,,,,,,,,55,55,1
5002305,,,,,,,,52,52,1
5002306,,,,,,,,17,17,1
5002309,7,,,,,,48,1,56,0
5002310,32,,,,,,,,32,0
5002311,30,,,,,,,3,33,0
5002312,2,,,,,,,1,3,0
5002313,28,,,,,,,1,29,0
5002314,16,,,,,,33,,49,0
5002315,7,,,,,,18,,25,0
5002316,3,,,,,,33,,36,0
5002317,1,,,,,,37,,38,0
5002318,,,,,,,,23,23,1
5002319,,,,,,,,40,40,1
5002320,2,,,,,,23,,25,0
5002321,4,,,,,,39,1,44,0
5002322,2,,,,,,,,2,0
5002323,10,,,,,,23,,33,0
5002324,12,,,,,,,,12,0
5002325,11,,,,,,12,,23,0
5002326,3,,,,,,27,,30,0
5002330,12,,,,,,19,,31,0
5002331,5,1,,,,,4,,10,0
5002332,13,,,,,,1,,14,0
5002333,5,,,,,,13,,18,0
5002335,,,,,,,,55,55,1
5002336,,,,,,,,30,30,1
5002337,,,,,,,,22,22,1
5002338,,,,,,,,50,50,1
5002339,,,,,,,,26,26,1
5002340,,,,,,,,48,48,1
5002341,,,,,,,,36,36,1
5002342,7,,,,,,,1,8,0
5002343,5,,,,,,3,,8,0
5002344,15,,,,,,,2,17,0
5002345,23,,,,,,,1,24,0
5002346,11,,,,,,14,1,26,0
5002347,7,,,,,,36,,43,0
5002348,,,,,,,12,,12,0
5002349,4,,,,,,,33,37,0
5002350,11,,,,,,,1,12,0
5002351,12,,,,,,20,,32,0
5002352,2,,,,,,18,,20,0
5002353,5,,,,,,31,,36,0
5002354,24,,,,,,11,2,37,0
5002355,11,,,,,,,,11,0
5002356,29,,,,,,,22,51,0
5002360,12,,,,,,,3,15,0
5002363,,,,,,,,6,6,1
5002364,,,,,,,,8,8,1
5002365,2,,,,,,,3,5,0
5002368,1,,,,,,,11,12,0
5002369,12,,,,,,12,,24,0
5002370,22,1,,,,,,1,24,0
5002373,1,1,,,,,43,1,46,0
5002374,3,,,,,,36,,39,0
5002375,29,,,,,,,,29,0
5002376,,,,,,,,47,47,1
5002377,,,,,,,,21,21,1
5002378,,,,,,,,21,21,1
5002380,15,3,1,,,,5,33,57,0
5002381,12,1,,,,,16,,29,0
5002383,,,,,,,,34,34,1
5002384,8,,,,,,45,,53,0
5002385,14,,,,,,45,,59,0
5002386,,,,,,,,10,10,1
5002387,,,,,,,,10,10,1
5002388,,,,,,,,10,10,1
5002390,6,,,,,,13,2,21,0
5002391,4,,,,,,17,,21,0
5002392,20,,,,,,22,,42,0
5002394,3,,,,,,21,1,25,0
5002395,13,,,,,,22,18,53,0
5002396,1,,,,,,,1,2,0
5002397,2,,,,,,,6,8,0
5002398,31,,,,,,,21,52,0
5002399,9,,,,,,,5,14,0
5002402,2,,,,,,,6,8,0
5002403,17,,,,,,,,17,0
5002404,19,,,,,,,,19,0
5002405,6,,,,,,13,,19,0
5002408,,,,,,,,9,9,1
5002409,4,,,,,,,9,13,0
5002410,9,,,,,,,4,13,0
5002411,10,,,,,,12,1,23,0
5002412,23,,,,,,8,,31,0
5002413,43,2,,,,,,,45,0
5002418,40,,,,,,10,2,52,0
5002420,19,,,,,,,8,27,0
5002421,10,,,,,,,,10,0
5002422,7,,,,,,,1,8,0
5002424,10,,,,,,4,,14,0
5002425,2,,,,,,19,1,22,0
5002426,6,,,,,,19,,25,0
5002427,2,,,,,,23,2,27,0
5002428,7,3,,,,,28,,38,0
5002429,15,,,,,,,9,24,0
5002430,16,,,,,,,2,18,0
5002431,18,,,,,,,,18,0
5002432,10,,,,,,32,,42,0
5002433,10,1,,,,,27,,38,0
5002434,2,,,,,,,23,25,0
5002435,2,,,,,,,20,22,0
5002436,10,,,,,,18,1,29,0
5002437,4,,,,,,,,4,0
5002438,8,,,,,,,3,11,0
5002439,6,,,,,,8,,14,0
5002441,10,,,,,,,23,33,0
5002443,11,,,,,,,,11,0
5002444,9,,,,,,,1,10,0
5002445,9,,,,,,,,9,0
5002446,18,1,,,,,,1,20,0
5002447,19,,,,,,,1,20,0
5002448,7,,,,,,,29,36,0
5002449,5,,,,,,,33,38,0
5002450,9,,,,,,45,1,55,0
5002453,13,,,,,,22,3,38,0
5002454,13,,,,,,22,3,38,0
5002455,2,,,,,,,34,36,0
5002456,20,,,,,,6,34,60,0
5002457,10,,,,,,,14,24,0
5002458,17,,,,,,,6,23,0
5002459,21,,,,,,,2,23,0
5002460,3,,,,,,10,,13,0
5002462,6,,,,,,32,,38,0
5002465,2,,,,,,58,1,61,0
5002467,20,,,,,,,15,35,0
5002469,,,,,,,,29,29,1
5002471,,,,,,,,11,11,1
5002472,,,,,,,,31,31,1
5002474,6,,,,,,47,,53,0
5002475,9,,,,,,,3,12,0
5002476,3,,,,,,,1,4,0
5002477,1,,,,,,,10,11,0
5002479,7,,,,,,14,,21,0
5002480,1,,,,,,,1,2,0
5002481,8,,,,,,,,8,0
5002482,12,1,,,,,44,,57,0
5002483,1,,,,,,,56,57,0
5002484,10,,,,,,32,,42,0
5002485,7,,,,,,,46,53,0
5002486,4,,,,,,,13,17,0
5002487,28,,,,,,,3,31,0
5002488,10,1,,,,,43,1,55,0
5002489,25,2,,,,,,16,43,0
5002490,4,,,,,,41,3,48,0
5002491,27,,,,,,,12,39,0
5002492,6,,,,,,34,,40,0
5002495,,,,,,,,22,22,1
5002496,,,,,,,,19,19,1
5002497,,,,,,,,22,22,1
5002501,29,3,,,,,14,,46,0
5002502,27,2,,,,,29,1,59,0
5002505,8,,,,,,,2,10,0
5002507,16,1,,,,,,26,43,0
5002508,12,,,,,,,5,17,0
5002509,11,,,,,,,3,14,0
5002510,20,,,,,,14,4,38,0
5002511,10,,,,,,14,,24,0
5002512,5,,,,,,,11,16,0
5002514,6,,,,,,43,,49,0
5002515,,,,,,,,60,60,1
5002518,6,,,,,,19,1,26,0
5002519,5,,,,,,28,,33,0
5002520,12,,,,,,,24,36,0
5002521,12,,,,,,,7,19,0
5002523,9,,,,,,50,2,61,0
5002524,5,,,,,,27,1,33,0
5002525,3,,,,,,18,,21,0
5002526,,,,,,,27,,27,0
5002527,24,1,,,,,,4,29,0
5002528,10,,,,,,14,,24,0
5002529,,,,,,,,27,27,1
5002533,11,,,,,,,12,23,0
5002534,7,,,,,,,2,9,0
5002537,10,,,,,,,,10,0
5002538,23,2,,,,,,2,27,0
5002539,22,,,,,,,1,23,0
5002540,32,,,,,,,1,33,0
5002541,21,,,,,,22,,43,0
5002543,18,,,,,,17,6,41,0
5002544,11,2,,,,,,18,31,0
5002545,14,3,,,,,,1,18,0
5002547,4,,,,,,,11,15,0
5002548,11,,,,,,,4,15,0
5002549,,,,,,,,30,30,1
5002550,9,,,,,,33,,42,0
5002551,9,,,,,,,12,21,0
5002554,12,,,,,,36,,48,0
5002555,28,,,,,,,13,41,0
5002556,25,,,,,,,12,37,0
5002557,20,,,,,,,1,21,0
5002558,18,,,,,,,18,36,0
5002559,8,1,,,,,,5,14,0
5002560,11,,,,,,36,1,48,0
5002562,,,,,,,,31,31,1
5002563,,,,,,,,27,27,1
5002564,6,,,,,,25,,31,0
5002565,3,,,,,,41,,44,0
5002566,6,,,,,,49,,55,0
5002567,2,,,,,,54,,56,0
5002568,11,2,,,,,,,13,0
5002570,14,,,,,,35,,49,0
5002571,4,,,,,,31,,35,0
5002572,13,,,,,,27,,40,0
5002573,4,,,,,,8,,12,0
5002574,12,,,,,,,,12,0
5002575,19,2,,,,,,,21,0
5002576,2,,,,,,,,2,0
5002578,1,,,,,,,53,54,0
5002579,4,,,,,,20,15,39,0
5002581,23,,,,,,,1,24,0
5002582,14,,,,,,,7,21,0
5002583,1,,,,,,,38,39,0
5002584,9,,,,,,,30,39,0
5002585,4,,,,,,48,,52,0
5002586,2,,,,,,25,,27,0
5002587,,,,,,,13,16,29,0
5002588,4,,,,,,7,34,45,0
5002589,8,,,,,,,2,10,0
5002590,12,,,,,,,,12,0
5002591,4,,,,,,15,,19,0
5002592,4,,,,,,19,,23,0
5002593,6,,,,,,18,,24,0
5002594,5,,,,,,22,1,28,0
5002595,5,1,,,,,24,,30,0
5002597,32,,,,,,,5,37,0
5002598,12,,,,,,,25,37,0
5002599,23,,,,,,34,,57,0
5002601,18,,,,,,41,1,60,0
5002602,24,,,,,,33,,57,0
5002603,6,,,,,,2,1,9,0
5002604,7,,,,,,18,,25,0
5002605,34,,,,,,,3,37,0
5002606,18,,,,,,17,,35,0
5002607,23,,,,,,3,23,49,0
5002608,4,,,,,,,,4,0
5002609,8,,,,,,52,,60,0
5002611,11,,,,,,22,,33,0
5002612,7,,,,,,,4,11,0
5002615,13,,,,,,14,23,50,0
5002616,7,,,,,,,6,13,0
5002617,3,,,,,,6,,9,0
5002618,,,,,,,,8,8,1
5002619,6,,,,,,30,,36,0
5002620,,,,,,,,7,7,1
5002621,10,,,,,,2,,12,0
5002622,31,,,,,,,2,33,0
5002623,7,,,,,,,,7,0
5002624,12,,,,,,,8,20,0
5002626,12,,,,,,19,,31,0
5002628,7,,,,,,,1,8,0
5002629,11,,,,,,,,11,0
5002630,,,,,,,,24,24,1
5002631,,,,,,,,24,24,1
5002633,10,,,,,,,2,12,0
5002636,33,,,,,,,2,35,0
5002637,29,,,,,,,14,43,0
5002638,27,5,,,,,,18,50,0
5002639,17,1,,,,,24,1,43,0
5002642,13,2,1,,,,19,,35,0
5002644,36,,,,,,23,,59,0
5002645,8,,,,,,,4,12,0
5002646,11,,,,,,12,,23,0
5002647,13,,,,,,,,13,0
5002649,17,,,,,,,,17,0
5002650,11,,,,,,24,,35,0
5002651,2,,,,,,,1,3,0
5002652,,,,,,,,7,7,1
5002653,,,,,,,,12,12,1
5002654,32,,,,,,,2,34,0
5002655,,,,,,,,57,57,1
5002660,1,,,,,,26,6,33,0
5002661,20,,,,,,,28,48,0
5002662,14,,,,,,,7,21,0
5002665,4,,,,,,30,,34,0
5002666,8,,,,,,20,1,29,0
5002667,25,,,,,,,3,28,0
5002668,14,,,,,,33,,47,0
5002669,18,,,,,,20,,38,0
5002670,4,,,,,,,9,13,0
5002671,8,,,,,,,5,13,0
5002672,8,,,,,,23,1,32,0
5002673,,,,,,,,43,43,1
5002674,11,,,,,,22,1,34,0
5002675,31,,,,,,,18,49,0
5002677,10,,,,,,5,,15,0
5002679,2,,,,,,20,4,26,0
5002680,14,,,,,,,6,20,0
5002683,,,,,,,,22,22,1
5002684,,,,,,,,22,22,1
5002685,,,,,,,,22,22,1
5002686,7,,,,,,,1,8,0
5002687,,,,,,,,11,11,1
5002688,36,,,,,,,1,37,0
5002689,1,,,,,,,,1,0
5002690,9,,,,,,,2,11,0
5002691,6,,,,,,8,,14,0
5002694,,,,,,,,22,22,1
5002695,11,1,,,,,7,,19,0
5002696,6,,,,,,4,,10,0
5002697,16,,,,,,,3,19,0
5002698,13,,,,,,42,4,59,0
5002699,,,,,,,,23,23,1
5002700,5,,,,,,4,1,10,0
5002701,6,,,,,,38,,44,0
5002702,2,,,,,,,8,10,0
5002703,6,,,,,,38,,44,0
5002704,,,,,,,,40,40,1
5002705,,,,,,,,19,19,1
